Statistical profiling result from isolate-0x2fb4260-v8.log, (2263 ticks, 64 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2  100.0%      LazyCompile: *Mexp.toPostfix /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix.js:3:37
      2  100.0%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
      2  100.0%          LazyCompile: ~Module._compile module.js:510:37
      2  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
      2    3.4%    v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      1   50.0%      LazyCompile: ~setupConfig internal/process.js:119:21
      1  100.0%        LazyCompile: ~startup bootstrap_node.js:12:19
      1  100.0%          Function: ~<anonymous> bootstrap_node.js:10:10
      1   50.0%      LazyCompile: ~Uint8Array native typedarray.js:241:31
      1  100.0%        LazyCompile: ~FastBuffer buffer.js:10:14
      1  100.0%          LazyCompile: createUnsafeBuffer buffer.js:35:28
      1  100.0%            LazyCompile: ~createPool buffer.js:44:20

     57    2.5%  v8::internal::LookupIterator::WriteDataValue(v8::internal::Handle<v8::internal::Object>)
     57  100.0%    v8::internal::Runtime_SetProperty(int, v8::internal::Object**, v8::internal::Isolate*)
     57  100.0%      LazyCompile: *Mexp.lex /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/lexer.js:153:31
     47   82.5%        LazyCompile: *<anonymous> /mnt/FC8C84988C844ED8/Pthing/Projects/math-expression-evaluator/src/postfix_evaluator.js:1:11
     47  100.0%          LazyCompile: ~Module._compile module.js:510:37
     47  100.0%            LazyCompile: ~Module._extensions..js module.js:577:37
